filter_id,variant,expression,layman_explanation,stat,source
0F301,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <11 AND winner value_structure equals 5 AND winner value_structure equals 5),4/311,keeper
0F302,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <10 AND winner value_structure equals 5 AND winner value_structure equals 5),3/311,keeper
0F564,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
0F620,ones,winner == 2,Eliminate if ( AND (winner value equals 2),0/311,keeper
0F621,ones,winner == 3,Eliminate if ( AND (winner value equals 3),0/311,keeper
0F627,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F634,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F638,ones,winner < 6,Eliminate if ( AND (winner value is < 6),0/311,keeper
0F643,ones,sum(d % 2 == 1 for d in combo_digits) == 2,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 2),15/311,keeper
0F647,ones,winner > 42,Eliminate if ( AND (winner value is > 42),0/311,keeper
0F652,ones,winner < 8,Eliminate if ( AND (winner value is < 8),2/311,keeper
0F656,ones,winner < 14,Eliminate if ( AND (winner value is < 14),20/311,keeper
0F658,ones,winner < 6,Eliminate if ( AND (winner value is < 6),0/311,keeper
0F662,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F665,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F666,ones,winner < 11,Eliminate if ( AND (winner value is < 11),6/311,keeper
0F668,ones,winner < 11,Eliminate if ( AND (winner value is < 11),6/311,keeper
0F670,ones,winner < 10,Eliminate if ( AND (winner value is < 10),4/311,keeper
0F672,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
0F673,ones,winner < 10,Eliminate if ( AND (winner value is < 10),4/311,keeper
0F675,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
0F678,ones,winner < 12,Eliminate if ( AND (winner value is < 12),10/311,keeper
0F681,ones,winner < 7,Eliminate if ( AND (winner value is < 7),0/311,keeper
0F682,ones,winner < 14,Eliminate if ( AND (winner value is < 14),20/311,keeper
0F684,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F686,ones,winner < 13,Eliminate if ( AND (winner value is < 13),14/311,keeper
0F687,ones,winner < 11,Eliminate if ( AND (winner value is < 11),6/311,keeper
0F689,ones,winner < 7,Eliminate if ( AND (winner value is < 7),0/311,keeper
0F691,ones,winner < 9,Eliminate if ( AND (winner value is < 9),3/311,keeper
0F693,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F694,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
0F696,ones,winner < 19,Eliminate if ( AND (winner value is < 19),86/311,keeper
0F697,ones,winner > 31,Eliminate if ( AND (winner value is > 31),22/311,keeper
0F699,ones,winner < 8,Eliminate if ( AND (winner value is < 8),2/311,keeper
0F700,ones,winner < 11,Eliminate if ( AND (winner value is < 11),6/311,keeper
0F702,ones,winner < 15,Eliminate if ( AND (winner value is < 15),25/311,keeper
0F704,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
0F706,ones,winner < 19,Eliminate if ( AND (winner value is < 19),86/311,keeper
0F710,ones,winner < 16,Eliminate if ( AND (winner value is < 16),35/311,keeper
0F712,ones,winner < 14,Eliminate if ( AND (winner value is < 14),20/311,keeper
0F713,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
0F716,ones,sum(d % 2 == 1 for d in combo_digits) == 2,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 2),15/311,keeper
105F552,ones,"not any(mirror.get(d,None) in combo_digits for d in combo_digits) and max(combo_digits) - min(combo_digits) <= 4","Eliminate if ( AND (not any(mirror.get(d,None) in  AND max( - min( is ≤ 4)",3/311,keeper
10F210,ones,winner <13 or winner >35,Eliminate if ( AND (winner value is <13 OR winner value is >35),19/311,keeper
10F214,ones,not any(v in combo_vtracs for v in seed_vtracs,Eliminate if ( AND (not any(v in combo_vtracs for v in seed value_vtracs)),0/311,keeper
10F310,ones,sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <15 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥4 AND winner value is <15 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
113F223,ones,5 not in combo_digits and 6 not in combo_digits,Eliminate if ( AND (5 not in,18/311,keeper
114F219,ones,4 not in combo_digits and 5 not in combo_digits,Eliminate if ( AND (4 not in,20/311,keeper
114F246,ones,5 not in combo_digits and 4 not in combo_digits,Eliminate if ( AND (5 not in,20/311,keeper
116F195,ones,2 not in combo_digits and 4 not in combo_digits,Eliminate if ( AND (2 not in,14/311,keeper
11F194,ones,winner <11 or winner >33,Eliminate if ( AND (winner value is <11 OR winner value is >33),19/311,keeper
11F212,ones,winner <11 or winner >33,Eliminate if ( AND (winner value is <11 OR winner value is >33),19/311,keeper
11F342,ones,sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<13 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥3 AND winner valueis <13 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
123F328,ones,winner<20 or winner>28,Eliminate if ( AND (winner valueis <20 OR winner valueis >28),156/311,keeper
128F222,ones,2 not in combo_digits and 1 not in combo_digits,Eliminate if ( AND (2 not in,18/311,keeper
12F557,ones,"sorted(Counter(combo_digits).values) == [1, 2, 2] and len(set(combo_digits)) == 3 and all(d not in mirror.values for d in combo_digits) and (max(combo_digits) - min(combo_digits) <= 4",Eliminate if the combo contains duplicate digits.,0/311,keeper
132F197,ones,3 not in combo_digits and 4 not in combo_digits,Eliminate if ( AND (3 not in,12/311,keeper
138F561,ones,len(set(combo_digits).intersection(seed_digits)) == 1 and sum(d <= 4 for d in combo_digits) < 3,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1 and sum(d <= 4 for d in combo_digits) < 3,0/311,keeper
13F558,ones,"sorted(Counter(combo_digits).values) == [1, 1, 3] and any(d in mirror.values for d in combo_digits) and sum(d <= 4 for d in combo_digits) < 4","Eliminate if ( AND (sorted(Counter(.values()) equals [1, 1, 3] AND any(d in mirror.values() for d in  AND sum(d is ≤ 4 for d in  is < 4)",0/311,keeper
142F213,ones,winner <25 and sum(1 for d in combo_digits if d in seed_digits) >=3,Eliminate if ( AND (winner value is <25 AND sum(1 for d in  is ≥3),200/311,keeper
14F349,ones,sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<11 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥2 AND winner valueis <11 AND winner value_structure equals 5 AND winner value_structure equals 5),4/311,keeper
15F247,ones,winner<12 or winner>20,Eliminate if ( AND (winner valueis <12 OR winner valueis >20),195/311,keeper
16F341,ones,sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<14 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥3 AND winner valueis <14 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
16F534,ones,0 <= seed <= 15) and (34 <= winner <= 45,Eliminate if ( AND ((0 is ≤ seed value is ≤ 15) AND (34 is ≤ winner value is ≤ 45)),2/311,keeper
17F325,ones,all(d%2 for d in combo_digits,Eliminate if ( AND (all(d%2 for d in ),0/311,keeper
18F258,ones,not (12<=winner<=20,Eliminate if ( AND (not (12is ≤winner valueis ≤20)),195/311,keeper
18F334,ones,winner<12 or winner>20,Eliminate if ( AND (winner valueis <12 OR winner valueis >20),195/311,keeper
18F348,ones,sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<12 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥2 AND winner valueis <12 AND winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
18F533,ones,34 <= seed <= 45) and (34 <= winner <= 45,Eliminate if ( AND ((34 is ≤ seed value is ≤ 45) AND (34 is ≤ winner value is ≤ 45)),0/311,keeper
18F537,ones,34 <= seed <= 45) and (0 <= winner <= 15,Eliminate if ( AND ((34 is ≤ seed value is ≤ 45) AND (0 is ≤ winner value is ≤ 15)),1/311,keeper
18F542,ones,winner_structure == 3,Eliminate if ( AND (winner value_structure equals 3),0/311,keeper
19F352,ones,sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<11and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥1 AND winner valueis <11and winner value_structure equals 5 AND winner value_structure equals 5),4/311,keeper
1F192,ones,winner <8 or winner >29,Eliminate if ( AND (winner value is <8 OR winner value is >29),44/311,keeper
1F193,ones,winner <10 or winner >30,Eliminate if ( AND (winner value is <10 OR winner value is >30),35/311,keeper
1F206,ones,winner <8 or winner >29,Eliminate if ( AND (winner value is <8 OR winner value is >29),44/311,keeper
1F208,ones,winner <10 or winner >30,Eliminate if ( AND (winner value is <10 OR winner value is >30),35/311,keeper
1F229,ones,winner==38 and seed<30,Eliminate if ( AND (winner valueequals38 AND seed valueis <30),2/311,keeper
1F241,ones,winner==4,Eliminate if ( AND (winner valueequals4),0/311,keeper
1F295,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <17 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <17 AND winner value_structure equals 5 AND winner value_structure equals 5),11/311,keeper
1F296,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <16 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <16 AND winner value_structure equals 5 AND winner value_structure equals 5),9/311,keeper
1F297,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <15 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <15 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
1F543,ones,winner_structure == 2,Eliminate if ( AND (winner value_structure equals 2),0/311,keeper
1F567,ones,len(set(combo_digits)) < 5,Eliminate if the combo contains duplicate digits.,4/311,keeper
1F579,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
1F582,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F583,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F587,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F589,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
1F590,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F594,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F595,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
1F596,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F601,ones,len(set(combo_digits)) == 5,Eliminate if the combo uses 5 unique digits.,54/311,keeper
1F603,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
1F605,ones,len(set(combo_digits).intersection(seed_digits)) > 3,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) > 3,242/311,keeper
1F606,ones,len(set(combo_digits).intersection(seed_digits)) > 3,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) > 3,242/311,keeper
1F608,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
1F610,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
1F611,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
1F612,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
1F613,ones,len(set(combo_digits).intersection(seed_digits)) == 2,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 2,13/311,keeper
1F616,ones,len(set(combo_digits).intersection(seed_digits)) == 1,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) == 1,0/311,keeper
1F617,ones,len(set(combo_digits).intersection(seed_digits)) > 3,Eliminate if the combination meets the condition: len(set(combo_digits).intersection(seed_digits)) > 3,242/311,keeper
1F622,ones,winner == 5,Eliminate if ( AND (winner value equals 5),0/311,keeper
1F625,ones,winner > 38,Eliminate if ( AND (winner value is > 38),0/311,keeper
1F631,ones,winner > 31,Eliminate if ( AND (winner value is > 31),22/311,keeper
1F633,ones,sum(d % 2 == 0 for d in combo_digits) == 2,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 2),5/311,keeper
1F637,ones,sum(d % 2 == 1 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 1),3/311,keeper
1F639,ones,winner > 35,Eliminate if ( AND (winner value is > 35),5/311,keeper
1F642,ones,winner > 36,Eliminate if ( AND (winner value is > 36),3/311,keeper
1F645,ones,winner > 37,Eliminate if ( AND (winner value is > 37),2/311,keeper
1F650,ones,winner < 12,Eliminate if ( AND (winner value is < 12),10/311,keeper
1F654,ones,winner < 13,Eliminate if ( AND (winner value is < 13),14/311,keeper
1F660,ones,winner < 8,Eliminate if ( AND (winner value is < 8),2/311,keeper
1F663,ones,winner < 9,Eliminate if ( AND (winner value is < 9),3/311,keeper
1F667,ones,winner > 35,Eliminate if ( AND (winner value is > 35),5/311,keeper
1F669,ones,winner > 39,Eliminate if ( AND (winner value is > 39),0/311,keeper
1F676,ones,winner < 12,Eliminate if ( AND (winner value is < 12),10/311,keeper
1F688,ones,winner > 37,Eliminate if ( AND (winner value is > 37),2/311,keeper
1F690,ones,winner > 38,Eliminate if ( AND (winner value is > 38),0/311,keeper
1F698,ones,winner > 30,Eliminate if ( AND (winner value is > 30),31/311,keeper
1F701,ones,winner > 29,Eliminate if ( AND (winner value is > 29),42/311,keeper
1F703,ones,winner > 27,Eliminate if ( AND (winner value is > 27),62/311,keeper
1F705,ones,sum(d % 2 == 1 for d in combo_digits) == 2,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 2),15/311,keeper
1F711,ones,winner > 33,Eliminate if ( AND (winner value is > 33),13/311,keeper
1F714,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
1F715,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
1F717,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
1F718,ones,sum(d % 2 == 1 for d in combo_digits) == 2,Eliminate if ( AND (sum(d % 2 equals 1 for d in  equals 2),15/311,keeper
1F719,ones,len(set(combo_digits)) == 5 and max(combo_digits) - min(combo_digits) == 4 and len(set(combo_digits)) == 5,Eliminate if the combo uses 5 unique digits.,3/311,keeper
20F253,ones,not (19<=winner<=25,Eliminate if ( AND (not (19is ≤winner valueis ≤25)),185/311,keeper
20F259,ones,not (11<=winner<=26,Eliminate if ( AND (not (11is ≤winner valueis ≤26)),83/311,keeper
20F261,ones,winner<16 or winner>25,Eliminate if ( AND (winner valueis <16 OR winner valueis >25),134/311,keeper
20F264,ones,winner<12 or winner>25,Eliminate if ( AND (winner valueis <12 OR winner valueis >25),109/311,keeper
20F265,ones,winner<11 or winner>26,Eliminate if ( AND (winner valueis <11 OR winner valueis >26),83/311,keeper
20F268,ones,winner<11 or winner>26,Eliminate if ( AND (winner valueis <11 OR winner valueis >26),83/311,keeper
20F324,ones,all(d<=4 for d in combo_digits)and winner_structure == 5,Eliminate if ( AND (all(dis ≤4 for d in and winner value_structure equals 5),0/311,keeper
20F563,ones,len(set(combo_digits)) == 5 and len(set(combo_digits).intersection(seed_digits)) == 4,Eliminate if the combination meets the condition: len(set(combo_digits)) == 5 and len(set(combo_digits).intersection(seed_digits)) == 4,20/311,keeper
21F199,ones,"not any(mirror.get(d,None) in combo_digits for d in seed_digits) and winner_structure == 5 and winner_structure == 5","Eliminate if ( AND (not any(mirror.get(d,None) in  AND winner value_structure equals 5 AND winner value_structure equals 5)",0/311,keeper
21F216,ones,len(set(combo_vtracs))==5,Eliminate if the combination uses all 5 different V-Trac groups.,152/311,keeper
22F340,ones,sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<15 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥3 AND winner valueis <15 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
22F357,ones,prev_seed_sum > 20 and seed < 20 and winner < 20,Eliminate if ( AND (prev_seed value_sum is > 20 AND seed value is < 20 AND winner value is < 20),33/311,keeper
23F282,ones,sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <20 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥4 AND winner value is <20 AND winner value_structure equals 5 AND winner value_structure equals 5),18/311,keeper
23F536,ones,25 <= seed <= 33) and (0 <= winner <= 15,Eliminate if ( AND ((25 is ≤ seed value is ≤ 33) AND (0 is ≤ winner value is ≤ 15)),11/311,keeper
24F554,ones,"not any(mirror.get(d,None) in combo_digits for d in combo_digits) and all(d % 2 == 1 for d in combo_digits","Eliminate if ( AND (not any(mirror.get(d,None) in  AND all(d % 2 equals 1 for d in )",0/311,keeper
254F555,ones,sum(1 for d in combo_digits if mirror.get(d) in combo_digits) >= 4,Eliminate if ( AND (sum(1 for d in  in  is ≥ 4),262/311,keeper
25F351,ones,sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<12 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥1 AND winner valueis <12 AND winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
26F347,ones,sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<13 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥2 AND winner valueis <13 AND winner value_structure equals 5 AND winner value_structure equals 5),7/311,keeper
29F281,ones,sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <21 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥4 AND winner value is <21 AND winner value_structure equals 5 AND winner value_structure equals 5),18/311,keeper
29F283,ones,sum(1 for d in combo_digits if d in seed_digits) >=4 and winner <19 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥4 AND winner value is <19 AND winner value_structure equals 5 AND winner value_structure equals 5),17/311,keeper
29F550DD,ones,"any(mirror.get(d,None) in combo_digits for d in combo_digits) and sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (any(mirror.get(d,None) in  AND sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F218,ones,len(set(combo_vtracs))==1,Eliminate if all 5 digits are from the same V-Trac group.,0/311,keeper
2F227,ones,winner==39 and seed<30,Eliminate if ( AND (winner valueequals39 AND seed valueis <30),0/311,keeper
2F231,ones,winner==8,Eliminate if ( AND (winner valueequals8),1/311,keeper
2F234,ones,winner==36 and seed<30,Eliminate if ( AND (winner valueequals36 AND seed valueis <30),2/311,keeper
2F292,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <20 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <20 AND winner value_structure equals 5 AND winner value_structure equals 5),18/311,keeper
2F293,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <19 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <19 AND winner value_structure equals 5 AND winner value_structure equals 5),17/311,keeper
2F294,ones,sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <18 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in  is ≥5 AND winner value is <18 AND winner value_structure equals 5 AND winner value_structure equals 5),13/311,keeper
2F336,ones,sum(1 for d in combo_digits if d in seed_digits)>=4 and winner<10 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5 and winner_structure == 5,Eliminate if ( AND (sum(1 for d in is ≥4 AND winner valueis <10 AND winner value_structure equals 5 AND winner value_structure equals 5 AND winner value_structure equals 5 AND winner value_structure equals 5),3/311,keeper
2F568,ones,len(set(combo_digits)) == 5,Eliminate if the combo uses 5 unique digits.,54/311,keeper
2F576,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F581,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F584,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F586,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F591,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F592,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F593,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F597,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F599,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F602,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F607,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F609,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F614,ones,"sorted(Counter(combo_digits).values) == [2, 2, 1]","Eliminate if ( AND (sorted(Counter(.values()) equals [2, 2, 1])",0/311,keeper
2F615,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F619,ones,3 in Counter(combo_digits).values,Eliminate if ( AND (3 in Counter(.values()),167/311,keeper
2F629,ones,winner < 13,Eliminate if ( AND (winner value is < 13),14/311,keeper
2F630,ones,winner < 12,Eliminate if ( AND (winner value is < 12),10/311,keeper
2F632,ones,sum(d % 2 == 0 for d in combo_digits) == 1,Eliminate if ( AND (sum(d % 2 equals 0 for d in  equals 1),1/311,keeper
2F635,ones,winner < 18,Eliminate if ( AND (winner value is < 18),63/311,keeper
2F636,ones,winner > 32,Eliminate if ( AND (winner value is > 32),15/311,keeper
2F644,ones,winner < 10,Eliminate if ( AND (winner value is < 10),4/311,keeper
2F646,ones,winner < 9,Eliminate if ( AND (winner value is < 9),3/311,keeper
2F648,ones,winner < 13,Eliminate if ( AND (winner value is < 13),14/311,keeper
2F649,ones,winner > 33,Eliminate if ( AND (winner value is > 33),13/311,keeper
2F653,ones,winner > 31,Eliminate if ( AND (winner value is > 31),22/311,keeper
2F655,ones,winner > 32,Eliminate if ( AND (winner value is > 32),15/311,keeper
2F657,ones,winner > 40,Eliminate if ( AND (winner value is > 40),0/311,keeper
2F659,ones,winner > 35,Eliminate if ( AND (winner value is > 35),5/311,keeper
2F661,ones,winner > 37,Eliminate if ( AND (winner value is > 37),2/311,keeper
2F664,ones,winner > 37,Eliminate if ( AND (winner value is > 37),2/311,keeper
2F671,ones,winner > 37,Eliminate if ( AND (winner value is > 37),2/311,keeper
